Country Name,export,import,fert_rate,child_mort_rate,GDPpc,inflation,life_expectancy,health_exppc,health_exp%,,
Finland,39.8806794,39.72475381,1.35,2.3,48629.85823,1.02409393,81.98292683,4450.302734,9.15348339,,
France,31.59205541,32.54941778,1.86,4.3,40494.89829,1.108254923,82.82682927,4491.735352,11.05747223,,
Gabon,51.43107323,21.99701622,3.615,43,7523.862278,2.464567562,66.603,215.0191498,2.76836205,,
"Gambia, The",18.84139797,34.4282546,4.869,51.2,722.8747931,7.115676256,63.755,29.72580338,3.82171082,,
Georgia,54.81849314,63.78087517,2.011,9.5,4696.150586,4.852898217,73.47,291.1220398,6.65744257,,
Germany,46.66961299,41.0167969,1.54,3.7,46793.68676,1.445667015,81.29268293,5440.251465,11.69724941,,
Ghana,37.44959942,39.37520241,3.683,46.4,2167.911589,7.143640033,64.74,75.28166199,3.41858864,,
Greece,40.10993262,41.77429353,1.34,4.2,19144.28439,0.253007522,81.63902439,1500.594971,7.83788586,,
Guatemala,17.61240303,27.90544497,2.61,24.5,4647.693347,3.69998398,73.129,271.0212708,6.21161032,,
Guinea,35.04204934,43.37326389,4.576,98,1043.899882,9.470779373,59.72,43.03782272,3.98389959,,
Guinea-Bissau,20.28794966,35.08463592,4.172,79.6,730.6114487,0.2466002681,60.882,62.57557678,8.34976101,,
Haiti,11.71411884,37.4478782,2.919,62.2,1324.844005,18.70378257,64.255,56.99440002,4.72808981,,
Honduras,39.91851267,58.10907704,2.427,16.8,2519.370194,4.365871598,72.881,187.5543366,7.2839179,,
Hungary,81.54558305,79.2369966,1.55,4.1,16782.95246,3.338586354,76.3195122,1062.394165,6.35002232,,
Iceland,44.35902814,39.84635772,1.74,2,68853.71522,3.013971792,83.16341463,6274.959473,8.63868046,,
India,18.69098271,21.27154523,2.109,34.4,2047.232704,3.729505735,70.91,63.74832153,3.0141468,,
Indonesia,18.5915278,19.03624974,2.215,23.8,4151.227543,3.03058665,70.518,120.1249619,2.90493584,,
"Iran, Islamic Rep.",23.48386714,27.27046708,1.77,13.4,3277.875596,39.90734557,76.103,470.4346008,6.71061659,,
Iraq,38.0518682,30.93807022,3.604,26.1,5621.181695,-0.19896538,71.576,253.3146362,4.47671509,,
Ireland,127.8796462,124.369852,1.71,3.2,80927.07467,0.9390444811,82.70243902,5428.588867,6.67931509,,
Israel,29.29847865,27.04794045,3.01,3.6,44452.23256,0.8441287087,82.80487805,3456.386963,7.46131897,,
Italy,31.60241973,28.2765605,1.27,3,33673.75096,0.6112469438,83.49756098,2905.5,8.66856861,,
Jamaica,38.03608075,52.07452689,1.37,13.7,5626.171177,3.905100009,71.767,327.4035339,6.09748316,,
Japan,17.44537783,17.73444237,1.36,2.5,40458.00188,0.4687761594,84.35634146,4360.473633,10.74372482,,
Jordan,35.93844421,48.81434159,2.918,15.5,4205.563654,0.7615140473,76.044,334.04422,7.58246946,,
Kazakhstan,36.4389871,28.41962945,2.9,10.1,9812.595808,5.245476796,73.18,272.9652405,2.78745675,,
Kenya,11.42799666,20.33147006,3.469,43,1970.105143,5.235859994,62.943,83.41162872,4.59182692,,
Kiribati,18.27055009,101.6202532,3.368,51.2,1432.178985,-1.813079953,67.15,172.3057404,10.26414394,,
"Korea, Rep.",39.27586107,36.4812779,0.918,3.1,31902.4169,0.3830003036,83.22682927,2624.533203,8.1641655,,
Kuwait,53.29343279,44.88951147,2.159,8.8,30667.34822,1.091848027,79.685,1758.674194,5.49601221,,
